Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.01,0.01,0.3237545028731405
100% Corpus,6,0.01,0.31,0.32375450287314045
100% Corpus,6,0.01,0.61,0.3289102004262407
100% Corpus,6,0.01,0.9099999999999999,0.3272963461792046
100% Corpus,6,0.01,symmetric,0.3289102004262407
100% Corpus,6,0.31,0.01,0.3205178816598288
100% Corpus,6,0.31,0.31,0.3213111312111605
100% Corpus,6,0.31,0.61,0.3213111312111605
100% Corpus,6,0.31,0.9099999999999999,0.3205178816598288
100% Corpus,6,0.31,symmetric,0.32646693731562687
100% Corpus,6,0.61,0.01,0.3168008832679809
100% Corpus,6,0.61,0.31,0.3212466548253908
100% Corpus,6,0.61,0.61,0.3168008832679809
100% Corpus,6,0.61,0.9099999999999999,0.3212466548253908
100% Corpus,6,0.61,symmetric,0.3168008832679809
100% Corpus,6,0.9099999999999999,0.01,0.30674630012156
100% Corpus,6,0.9099999999999999,0.31,0.30674630012156
100% Corpus,6,0.9099999999999999,0.61,0.30674630012156
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.30674630012156
100% Corpus,6,0.9099999999999999,symmetric,0.30674630012156
100% Corpus,6,symmetric,0.01,0.32541903738548345
100% Corpus,6,symmetric,0.31,0.3289102004262407
100% Corpus,6,symmetric,0.61,0.33057482691042084
100% Corpus,6,symmetric,0.9099999999999999,0.33057482691042084
100% Corpus,6,symmetric,symmetric,0.3289102004262407
100% Corpus,6,asymmetric,0.01,0.33606685852990476
100% Corpus,6,asymmetric,0.31,0.3423711699966108
100% Corpus,6,asymmetric,0.61,0.3423711699966108
100% Corpus,6,asymmetric,0.9099999999999999,0.3423711699966108
100% Corpus,6,asymmetric,symmetric,0.34237116999661094
100% Corpus,7,0.01,0.01,0.3304163002348212
100% Corpus,7,0.01,0.31,0.32854671898859655
100% Corpus,7,0.01,0.61,0.32933809788901597
100% Corpus,7,0.01,0.9099999999999999,0.3304163002348212
100% Corpus,7,0.01,symmetric,0.3304163002348212
100% Corpus,7,0.31,0.01,0.32933809788901597
100% Corpus,7,0.31,0.31,0.32933809788901597
100% Corpus,7,0.31,0.61,0.3344325104117421
100% Corpus,7,0.31,0.9099999999999999,0.3344325104117421
100% Corpus,7,0.31,symmetric,0.32933809788901597
100% Corpus,7,0.61,0.01,0.32095667190027
100% Corpus,7,0.61,0.31,0.3189366547024864
100% Corpus,7,0.61,0.61,0.31401228002383386
100% Corpus,7,0.61,0.9099999999999999,0.32121539564206436
100% Corpus,7,0.61,symmetric,0.31818827884676226
100% Corpus,7,0.9099999999999999,0.01,0.3077766469521171
100% Corpus,7,0.9099999999999999,0.31,0.3057314675802928
100% Corpus,7,0.9099999999999999,0.61,0.305912911285513
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3059175810016619
100% Corpus,7,0.9099999999999999,symmetric,0.30572680258617874
100% Corpus,7,symmetric,0.01,0.33533138506640575
100% Corpus,7,symmetric,0.31,0.33533138506640575
100% Corpus,7,symmetric,0.61,0.33443251041174216
100% Corpus,7,symmetric,0.9099999999999999,0.32933809788901597
100% Corpus,7,symmetric,symmetric,0.3302374698701968
100% Corpus,7,asymmetric,0.01,0.3293067415799807
100% Corpus,7,asymmetric,0.31,0.3339562112381755
100% Corpus,7,asymmetric,0.61,0.331532994289457
100% Corpus,7,asymmetric,0.9099999999999999,0.3317300718582264
100% Corpus,7,asymmetric,symmetric,0.3339562112381755
100% Corpus,8,0.01,0.01,0.3546055041918197
100% Corpus,8,0.01,0.31,0.3491514975095486
100% Corpus,8,0.01,0.61,0.3389072633802793
100% Corpus,8,0.01,0.9099999999999999,0.34985706301843766
100% Corpus,8,0.01,symmetric,0.3505325334977721
100% Corpus,8,0.31,0.01,0.33619362608944403
100% Corpus,8,0.31,0.31,0.3422653892270006
100% Corpus,8,0.31,0.61,0.3445319397826009
100% Corpus,8,0.31,0.9099999999999999,0.33752814520164454
100% Corpus,8,0.31,symmetric,0.33752814520164454
100% Corpus,8,0.61,0.01,0.32966607385566354
100% Corpus,8,0.61,0.31,0.3296660738556636
100% Corpus,8,0.61,0.61,0.32665970549608125
100% Corpus,8,0.61,0.9099999999999999,0.32593407356800796
100% Corpus,8,0.61,symmetric,0.32966607385566354
100% Corpus,8,0.9099999999999999,0.01,0.30931547948377336
100% Corpus,8,0.9099999999999999,0.31,0.308428552908087
100% Corpus,8,0.9099999999999999,0.61,0.3083079921057278
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3095870193571962
100% Corpus,8,0.9099999999999999,symmetric,0.30931547948377325
100% Corpus,8,symmetric,0.01,0.3491514975095486
100% Corpus,8,symmetric,0.31,0.33985125515201586
100% Corpus,8,symmetric,0.61,0.350532533497772
100% Corpus,8,symmetric,0.9099999999999999,0.34985706301843766
100% Corpus,8,symmetric,symmetric,0.3505325334977721
100% Corpus,8,asymmetric,0.01,0.345210364975994
100% Corpus,8,asymmetric,0.31,0.345210364975994
100% Corpus,8,asymmetric,0.61,0.345210364975994
100% Corpus,8,asymmetric,0.9099999999999999,0.34521036497599394
100% Corpus,8,asymmetric,symmetric,0.34521036497599394
100% Corpus,9,0.01,0.01,0.3600275403349164
100% Corpus,9,0.01,0.31,0.3561613789168149
100% Corpus,9,0.01,0.61,0.3562028027310959
100% Corpus,9,0.01,0.9099999999999999,0.3610691617907539
100% Corpus,9,0.01,symmetric,0.3576833935221131
100% Corpus,9,0.31,0.01,0.3545112548472379
100% Corpus,9,0.31,0.31,0.355359621965373
100% Corpus,9,0.31,0.61,0.3570285716974101
100% Corpus,9,0.31,0.9099999999999999,0.31970937994063287
100% Corpus,9,0.31,symmetric,0.35660425358396114
100% Corpus,9,0.61,0.01,0.3228814830941068
100% Corpus,9,0.61,0.31,0.3231719182576594
100% Corpus,9,0.61,0.61,0.32317191825765934
100% Corpus,9,0.61,0.9099999999999999,0.3257594571475619
100% Corpus,9,0.61,symmetric,0.3264688621406466
100% Corpus,9,0.9099999999999999,0.01,0.3077321052508417
100% Corpus,9,0.9099999999999999,0.31,0.3077321052508417
100% Corpus,9,0.9099999999999999,0.61,0.30983167129713096
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3077321052508417
100% Corpus,9,0.9099999999999999,symmetric,0.30983167129713096
100% Corpus,9,symmetric,0.01,0.35854695546562215
100% Corpus,9,symmetric,0.31,0.3562028027310959
100% Corpus,9,symmetric,0.61,0.35854695546562215
100% Corpus,9,symmetric,0.9099999999999999,0.3585469554656222
100% Corpus,9,symmetric,symmetric,0.35854695546562215
100% Corpus,9,asymmetric,0.01,0.35491389976328513
100% Corpus,9,asymmetric,0.31,0.3593317679541706
100% Corpus,9,asymmetric,0.61,0.35668938833950325
100% Corpus,9,asymmetric,0.9099999999999999,0.3543062230496438
100% Corpus,9,asymmetric,symmetric,0.35491389976328513
100% Corpus,10,0.01,0.01,0.35212400621319434
100% Corpus,10,0.01,0.31,0.3521240062131944
100% Corpus,10,0.01,0.61,0.3515461760655173
100% Corpus,10,0.01,0.9099999999999999,0.35212400621319434
100% Corpus,10,0.01,symmetric,0.35522294172761915
100% Corpus,10,0.31,0.01,0.3519026893398226
100% Corpus,10,0.31,0.31,0.3554029449555549
100% Corpus,10,0.31,0.61,0.3525348447382795
100% Corpus,10,0.31,0.9099999999999999,0.3563080932176492
100% Corpus,10,0.31,symmetric,0.35253484473827956
100% Corpus,10,0.61,0.01,0.32859347303628905
100% Corpus,10,0.61,0.31,0.3286100415446328
100% Corpus,10,0.61,0.61,0.330634514676002
100% Corpus,10,0.61,0.9099999999999999,0.3294779554624222
100% Corpus,10,0.61,symmetric,0.327605316155844
100% Corpus,10,0.9099999999999999,0.01,0.3099740759392697
100% Corpus,10,0.9099999999999999,0.31,0.3090954467687489
100% Corpus,10,0.9099999999999999,0.61,0.31049795260323415
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.31049795260323415
100% Corpus,10,0.9099999999999999,symmetric,0.31049795260323415
100% Corpus,10,symmetric,0.01,0.3586973285075644
100% Corpus,10,symmetric,0.31,0.3533985644072601
100% Corpus,10,symmetric,0.61,0.3562463669458815
100% Corpus,10,symmetric,0.9099999999999999,0.3562463669458815
100% Corpus,10,symmetric,symmetric,0.3562463669458815
100% Corpus,10,asymmetric,0.01,0.3570404690716414
100% Corpus,10,asymmetric,0.31,0.3500264670931049
100% Corpus,10,asymmetric,0.61,0.35379725273411566
100% Corpus,10,asymmetric,0.9099999999999999,0.3542141654046852
100% Corpus,10,asymmetric,symmetric,0.3491446709990988
100% Corpus,11,0.01,0.01,0.37301734338080994
100% Corpus,11,0.01,0.31,0.3713314976911878
100% Corpus,11,0.01,0.61,0.37301734338080994
100% Corpus,11,0.01,0.9099999999999999,0.36529261086154496
100% Corpus,11,0.01,symmetric,0.3713314976911878
100% Corpus,11,0.31,0.01,0.3620808997166028
100% Corpus,11,0.31,0.31,0.36286731061537647
100% Corpus,11,0.31,0.61,0.36395668794144065
100% Corpus,11,0.31,0.9099999999999999,0.36524394452537323
100% Corpus,11,0.31,symmetric,0.3575234154250367
100% Corpus,11,0.61,0.01,0.3265661691899606
100% Corpus,11,0.61,0.31,0.33039393444403575
100% Corpus,11,0.61,0.61,0.33025276760840555
100% Corpus,11,0.61,0.9099999999999999,0.3315824208166223
100% Corpus,11,0.61,symmetric,0.3296315097955489
100% Corpus,11,0.9099999999999999,0.01,0.3088225086043922
100% Corpus,11,0.9099999999999999,0.31,0.3082797927680549
100% Corpus,11,0.9099999999999999,0.61,0.308059327236865
100% Corpus,11,0.9099999999999999,0.9099999999999999,0.3082797927680549
100% Corpus,11,0.9099999999999999,symmetric,0.3076151172368988
100% Corpus,11,symmetric,0.01,0.36836766390469416
100% Corpus,11,symmetric,0.31,0.3691458590739746
100% Corpus,11,symmetric,0.61,0.36836766390469416
100% Corpus,11,symmetric,0.9099999999999999,0.3670219839461856
100% Corpus,11,symmetric,symmetric,0.3670219839461856
100% Corpus,11,asymmetric,0.01,0.3609293116642207
100% Corpus,11,asymmetric,0.31,0.35962327364287544
100% Corpus,11,asymmetric,0.61,0.3626669924337433
100% Corpus,11,asymmetric,0.9099999999999999,0.3614292772705224
100% Corpus,11,asymmetric,symmetric,0.35318648705210104
100% Corpus,12,0.01,0.01,0.36740902048309737
100% Corpus,12,0.01,0.31,0.3728356990770143
100% Corpus,12,0.01,0.61,0.3710076595400596
